id,content_type,filename,size,tags,description,page_id,parent_id,thumbnail,width,height,db_file_id
166,image/pjpeg,capa13.jpg,15489,imágen_principal,,52,,,291,197,
167,image/pjpeg,capa13_thumb.jpg,15489,,,,166,thumb,251,170,
172,image/pjpeg,Bruno2.jpg,32459,imágen_principal,,56,,,226,372,
173,image/pjpeg,Bruno2_thumb.jpg,32459,,,,172,thumb,103,170,
174,image/pjpeg,Mundo1.jpg,18656,imágen_principal,,55,,,233,240,
175,image/pjpeg,Mundo1_thumb.jpg,18656,,,,174,thumb,165,170,
178,image/pjpeg,caiman_capítulo1b.jpg,37784,imágen_principal,,57,,,408,306,
179,image/pjpeg,caiman_capítulo1b_thumb.jpg,37784,,,,178,thumb,227,170,
180,image/pjpeg,versos_madera.jpg,29333,imágen_principal,,58,,,283,416,
181,image/pjpeg,versos_madera_thumb.jpg,29333,,,,180,thumb,116,170,
188,image/jpeg,por_la_lectura.jpg,24890,imágen_principal,,60,,,261,372,
189,image/jpeg,por_la_lectura_thumb.jpg,24890,,,,188,thumb,119,170,
224,image/jpeg,libro_7.jpg,338671,imágen_principal,,72,,,1716,1208,
225,image/jpeg,libro_7_thumb.jpg,338671,,,,224,thumb,241,170,
228,image/jpeg,Leyendo_1.JPG,28895,imágen_principal,,74,,,239,372,
229,image/jpeg,Leyendo_1_thumb.JPG,28895,,,,228,thumb,109,170,
264,image/gif,medellin1.gif,144196,imágen_principal,,81,,,508,380,
265,image/gif,medellin1_thumb.png,144196,,,,264,thumb,227,170,
268,image/png,mundonumeros.png,52103,imágen_principal,,79,,,253,372,
269,image/png,mundonumeros_thumb.png,52103,,,,268,thumb,116,170,
270,image/png,cienciaperiquete.png,48615,imágen_principal,,78,,,255,372,
271,image/png,cienciaperiquete_thumb.png,48615,,,,270,thumb,117,170,
272,image/png,arenanovela03.png,59440,imágen_principal,,70,,,291,400,
273,image/png,arenanovela03_thumb.png,59440,,,,272,thumb,124,170,
274,image/png,tuga1.png,104612,imágen_principal,,63,,,250,392,
275,image/png,tuga1_thumb.png,104612,,,,274,thumb,108,170,
276,image/png,laselva1.png,104267,imágen_principal,,62,,,254,392,
277,image/png,laselva1_thumb.png,104267,,,,276,thumb,110,170,
278,image/png,tuga4.png,55353,imágen_principal,,77,,,536,226,
279,image/png,tuga4_thumb.png,55353,,,,278,thumb,403,170,
280,image/png,garzas01.png,52718,imágen_principal,,69,,,127,400,
281,image/png,garzas01_thumb.png,52718,,,,280,thumb,54,170,
282,image/png,diario.png,82734,imágen_principal,,68,,,269,390,
283,image/png,diario_thumb.png,82734,,,,282,thumb,117,170,
284,image/png,cazador03.png,86310,imágen_principal,,71,,,345,390,
285,image/png,cazador03_thumb.png,86310,,,,284,thumb,150,170,
286,image/png,cazador02.png,120647,imágen_principal,,67,,,411,370,
287,image/png,cazador02_thumb.png,120647,,,,286,thumb,189,170,
288,image/png,los-zorros-interior.png,80316,imágen_principal,,66,,,240,378,
289,image/png,los-zorros-interior_thumb.png,80316,,,,288,thumb,108,170,
290,image/png,laisla01.png,68655,imágen_principal,,65,,,258,400,
291,image/png,laisla01_thumb.png,68655,,,,290,thumb,110,170,
292,image/png,genterara2.png,93451,imágen_principal,,64,,,260,372,
293,image/png,genterara2_thumb.png,93451,,,,292,thumb,119,170,
294,image/png,ojodenube_HR_03.png,100384,imágen_principal,,61,,,230,392,
295,image/png,ojodenube_HR_03_thumb.png,100384,,,,294,thumb,100,170,
296,image/png,arena5.png,164492,imágen_principal,,53,,,383,369,
297,image/png,arena5_thumb.png,164492,,,,296,thumb,176,170,
298,image/png,paratextos.png,85151,imágen_principal,,37,,,400,300,
299,image/png,paratextos_thumb.png,85151,,,,298,thumb,227,170,
300,image/png,libro-7.png,82563,imágen_principal,,73,,,426,300,
301,image/png,libro-7_thumb.png,82563,,,,300,thumb,241,170,
302,image/png,LeerLeon4.png,68279,imágen_principal,,75,,,382,282,
303,image/png,LeerLeon4_thumb.png,68279,,,,302,thumb,230,170,
304,image/png,puerta.png,65905,imágen_principal,,76,,,347,260,
305,image/png,puerta_thumb.png,65905,,,,304,thumb,227,170,
306,image/png,medellin3.png,140160,imágen_principal,,80,,,419,380,
307,image/png,medellin3_thumb.png,140160,,,,306,thumb,187,170,
308,image/png,caracol1.png,35784,imágen_principal,,27,,,179,200,
309,image/png,caracol1_thumb.png,35784,,,,308,thumb,152,170,
324,image/jpeg,Cuentos_crudos.jpg,35171,imágen_principal,,22,,,380,350,
325,image/jpeg,Cuentos_crudos_thumb.jpg,35171,,,,324,thumb,185,170,
328,image/jpeg,Cuentos_crudos_fairuz.JPG,24921,imágen_principal,,83,,,275,300,
329,image/jpeg,Cuentos_crudos_fairuz_thumb.JPG,24921,,,,328,thumb,156,170,
334,image/jpeg,Cuentos_crudos_sahara.jpg,37065,imágen_principal,,84,,,650,210,
335,image/jpeg,Cuentos_crudos_sahara_thumb.jpg,37065,,,,334,thumb,526,170,
336,image/jpeg,ciencia_periquete_catalan.jpg,54491,imágen_principal,,85,,,254,374,
337,image/jpeg,ciencia_periquete_catalan_thumb.jpg,54491,,,,336,thumb,115,170,
338,image/jpeg,ciencia-brasileiro.jpg,48897,imágen_principal,,86,,,245,374,
339,image/jpeg,ciencia-brasileiro_thumb.jpg,48897,,,,338,thumb,111,170,
340,image/jpeg,ciencia-coreano.jpg,33304,imágen_principal,,87,,,253,374,
341,image/jpeg,ciencia-coreano_thumb.jpg,33304,,,,340,thumb,115,170,
342,image/jpeg,numeros-catalan.jpg,54546,imágen_principal,,88,,,254,374,
343,image/jpeg,numeros-catalan_thumb.jpg,54546,,,,342,thumb,115,170,
344,image/jpeg,selva_galego.jpg,45693,imágen_principal,,89,,,218,372,
345,image/jpeg,selva_galego_thumb.jpg,45693,,,,344,thumb,100,170,
348,image/jpeg,Dinosabios_SM2.jpg,61927,imágen_principal,,91,,,306,372,
349,image/jpeg,Dinosabios_SM2_thumb.jpg,61927,,,,348,thumb,140,170,
350,image/jpeg,Divulgativo_anaya_1º_eso.jpg,35279,imágen_principal,,92,,,293,374,
351,image/jpeg,Divulgativo_anaya_1º_eso_thumb.jpg,35279,,,,350,thumb,133,170,
352,image/jpeg,Divulgativo_anaya_1º_eso.jpg,35279,imágen_principal,,93,,,293,374,
353,image/jpeg,Divulgativo_anaya_1º_eso_thumb.jpg,35279,,,,352,thumb,133,170,
356,image/jpeg,Divulgativo_anaya_3º_eso.jpg,38666,imágen_principal,,94,,,308,374,
357,image/jpeg,Divulgativo_anaya_3º_eso_thumb.jpg,38666,,,,356,thumb,140,170,
368,image/jpeg,conpiracionespejos.jpg,51421,imágen_principal,,99,,,261,390,
369,image/jpeg,conpiracionespejos_thumb.jpg,51421,,,,368,thumb,114,170,
380,image/jpeg,sello_galois.jpeg,17824,extra,,95,,,383,250,
381,image/jpeg,sello_galois_thumb.jpeg,17824,,,,380,thumb,260,170,
402,image/jpeg,Divulgativo_anaya_2º_eso.jpg,43355,imágen_principal,,100,,,289,374,
403,image/jpeg,Divulgativo_anaya_2º_eso_thumb.jpg,43355,,,,402,thumb,131,170,
406,image/jpeg,Divulgativo_anaya_4_eso.jpg,40751,imágen_principal,,101,,,306,374,
